uniprot,protein_length,source_database,organism,in_alphafold,pfam_accession,name,source_database,type,integrated,member_databases,go_terms,start,end,dc-status,representative,representative,model,score
P31749,480,reviewed,9606,True,PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,,,429,474,CONTINUOUS,False,False,PF00433,3.5e-07
P31751,481,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,154,409,CONTINUOUS,False,False,PF00069,2.4e-76
P31751,481,reviewed,9606,True,PF00169,PH domain,pfam,domain,IPR001849,,,6,106,CONTINUOUS,False,False,PF00169,8e-17
P31751,481,reviewed,9606,True,PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,,,430,475,CONTINUOUS,False,False,PF00433,3.4e-06
Q9Y243,479,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,150,405,CONTINUOUS,False,False,PF00069,6e-76
Q9Y243,479,reviewed,9606,True,PF00169,PH domain,pfam,domain,IPR001849,,,7,105,CONTINUOUS,False,False,PF00169,1.3e-13
Q9Y243,479,reviewed,9606,True,PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,,,426,473,CONTINUOUS,False,False,PF00433,5e-07
Q96NX5,476,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,26,277,CONTINUOUS,False,False,PF00069,6.2e-78
Q9UM73,1620,reviewed,9606,True,PF00629,"MAM domain, meprin/A5/mu",pfam,domain,IPR000998,,,480,634,CONTINUOUS,False,False,PF00629,1.9e-19
Q9UM73,1620,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,1116,1382,CONTINUOUS,False,False,PF07714,1.1e-86
Q9UM73,1620,reviewed,9606,True,PF12810,Glycine rich protein,pfam,family,,,,733,961,CONTINUOUS,False,False,PF12810,3.5e-09
P37023,503,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,204,488,CONTINUOUS,False,False,PF07714,4.5e-31
P37023,503,reviewed,9606,True,PF08515,Transforming growth factor beta type I GS-motif,pfam,family,IPR003605,,,174,200,CONTINUOUS,False,False,PF08515,1.1e-10
Q04771,509,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,211,493,CONTINUOUS,False,False,PF00069,5.2e-32
Q04771,509,reviewed,9606,True,PF01064,Activin types I and II receptor domain,pfam,domain,IPR000472,,,33,102,CONTINUOUS,True,True,PF01064,3.9e-11
Q04771,509,reviewed,9606,True,PF08515,Transforming growth factor beta type I GS-motif,pfam,family,IPR003605,,,179,206,CONTINUOUS,False,False,PF08515,7.1e-13
P36894,532,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,236,519,CONTINUOUS,False,False,PF00069,1.1e-33
P36894,532,reviewed,9606,True,PF01064,Activin types I and II receptor domain,pfam,domain,IPR000472,,,59,132,CONTINUOUS,True,True,PF01064,3.9e-10
P36894,532,reviewed,9606,True,PF08515,Transforming growth factor beta type I GS-motif,pfam,family,IPR003605,,,205,232,CONTINUOUS,False,False,PF08515,2e-12
P36896,505,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,209,491,CONTINUOUS,False,False,PF00069,1.9e-29
P36896,505,reviewed,9606,True,PF01064,Activin types I and II receptor domain,pfam,domain,IPR000472,,,33,104,CONTINUOUS,True,True,PF01064,0.00068
P36896,505,reviewed,9606,True,PF08515,Transforming growth factor beta type I GS-motif,pfam,family,IPR003605,,,178,205,CONTINUOUS,False,False,PF08515,1.3e-08
P36897,503,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,207,489,CONTINUOUS,False,False,PF00069,9.1e-32
P36897,503,reviewed,9606,True,PF01064,Activin types I and II receptor domain,pfam,domain,IPR000472,,,34,109,CONTINUOUS,True,True,PF01064,4.6e-11
P36897,503,reviewed,9606,True,PF08515,Transforming growth factor beta type I GS-motif,pfam,family,IPR003605,,,176,203,CONTINUOUS,False,False,PF08515,5.6e-12
O00238,502,reviewed,9606,True,PF01064,Activin types I and II receptor domain,pfam,domain,IPR000472,,,30,105,CONTINUOUS,True,True,PF01064,1.3e-14
O00238,502,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,204,489,CONTINUOUS,False,False,PF07714,2.6e-33
O00238,502,reviewed,9606,True,PF08515,Transforming growth factor beta type I GS-motif,pfam,family,IPR003605,,,175,202,CONTINUOUS,False,False,PF08515,4.1e-12
Q13131,559,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,29,279,CONTINUOUS,False,False,PF00069,2.1e-73
Q13131,559,reviewed,9606,True,PF16579,Adenylate sensor of SNF1-like protein kinase,pfam,domain,IPR032270,,,406,480,CONTINUOUS,False,False,PF16579,1.7e-09
Q13131,559,reviewed,9606,True,PF21147,"AMP-activated protein kinase, alpha subunit, autoinhibitory domain",pfam,domain,IPR049020,,,299,344,CONTINUOUS,False,False,PF21147,1.3e-20
P54646,552,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,16,268,CONTINUOUS,False,False,PF00069,1e-70
P54646,552,reviewed,9606,True,PF16579,Adenylate sensor of SNF1-like protein kinase,pfam,domain,IPR032270,,,401,480,CONTINUOUS,False,False,PF16579,1.5e-10
P54646,552,reviewed,9606,True,PF21147,"AMP-activated protein kinase, alpha subunit, autoinhibitory domain",pfam,domain,IPR049020,,,288,333,CONTINUOUS,False,False,PF21147,4.3e-23
P16066,1061,reviewed,9606,True,PF00211,Adenylate and Guanylate cyclase catalytic domain,pfam,domain,IPR001054,,,867,1052,CONTINUOUS,False,False,PF00211,8.9e-70
P16066,1061,reviewed,9606,True,PF01094,Receptor family ligand binding region,pfam,family,IPR001828,,,55,415,CONTINUOUS,False,False,PF01094,7.4e-45
P16066,1061,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,555,799,CONTINUOUS,False,False,PF07714,2.3e-35
P20594,1047,reviewed,9606,True,PF00211,Adenylate and Guanylate cyclase catalytic domain,pfam,domain,IPR001054,,,852,1037,CONTINUOUS,False,False,PF00211,1.1e-68
P20594,1047,reviewed,9606,True,PF01094,Receptor family ligand binding region,pfam,family,IPR001828,,,45,397,CONTINUOUS,False,False,PF01094,1.2e-43
P20594,1047,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,540,783,CONTINUOUS,False,False,PF07714,2.9e-36
P10398,606,reviewed,9606,True,PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),pfam,domain,IPR002219,,,99,145,CONTINUOUS,False,False,PF00130,1.8e-08
P10398,606,reviewed,9606,True,PF02196,Raf-like Ras-binding domain,pfam,domain,IPR003116,,,20,89,CONTINUOUS,False,False,PF02196,2e-18
P10398,606,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,311,565,CONTINUOUS,False,False,PF07714,7.3e-56
P42684,1182,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,173,248,CONTINUOUS,False,False,PF00017,2e-21
P42684,1182,reviewed,9606,True,PF00018,SH3 domain,pfam,domain,IPR001452,,,113,159,CONTINUOUS,False,False,PF00018,6.6e-09
P42684,1182,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,288,538,CONTINUOUS,False,False,PF07714,7.1e-96
P42684,1182,reviewed,9606,True,PF08919,F-actin binding,pfam,domain,IPR015015,,,1083,1182,CONTINUOUS,False,False,PF08919,2.9e-28
Q13315,3056,reviewed,9606,False,PF00454,Phosphatidylinositol 3- and 4-kinase,pfam,family,IPR000403,,,2715,2961,CONTINUOUS,False,False,PF00454,1.5e-51
Q13315,3056,reviewed,9606,False,PF02259,FAT domain,pfam,repeat,IPR003151,,,2097,2489,CONTINUOUS,False,False,PF02259,1.3e-53
Q13315,3056,reviewed,9606,False,PF02260,FATC domain,pfam,family,IPR003152,,,3026,3055,CONTINUOUS,False,False,PF02260,1.2e-08
Q13315,3056,reviewed,9606,False,PF11640,Telomere-length maintenance and DNA damage repair,pfam,domain,IPR021668,,,11,164,CONTINUOUS,False,False,PF11640,9.7e-21
Q13535,2644,reviewed,9606,True,PF00454,Phosphatidylinositol 3- and 4-kinase,pfam,family,IPR000403,,,2324,2566,CONTINUOUS,False,False,PF00454,1.4e-61
Q13535,2644,reviewed,9606,True,PF02259,FAT domain,pfam,repeat,IPR003151,,,1772,2092,CONTINUOUS,False,False,PF02259,3.1e-60
Q13535,2644,reviewed,9606,True,PF02260,FATC domain,pfam,family,IPR003152,,,2613,2644,CONTINUOUS,False,False,PF02260,1.6e-10
Q13535,2644,reviewed,9606,True,PF08064,UME (NUC010) domain,pfam,domain,IPR012993,,,1122,1222,CONTINUOUS,False,False,PF08064,7.3e-18
Q9UQB9,309,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,43,293,CONTINUOUS,False,False,PF00069,1.8e-67
P30530,894,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,227,322,CONTINUOUS,False,False,PF00041,0.0048
P30530,894,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,537,803,CONTINUOUS,False,False,PF07714,3.8e-87
P30530,894,reviewed,9606,True,PF13927,Immunoglobulin domain,pfam,domain,,,,41,118,CONTINUOUS,False,False,PF13927,0.00025
P25098,689,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,192,453,CONTINUOUS,False,False,PF00069,1.1e-68
P25098,689,reviewed,9606,True,PF00169,PH domain,pfam,domain,IPR001849,,,560,650,CONTINUOUS,False,False,PF00169,2e-07
P25098,689,reviewed,9606,True,PF00615,Regulator of G protein signaling domain,pfam,domain,IPR016137,,,55,174,CONTINUOUS,False,False,PF00615,2.3e-16
O14874,412,reviewed,9606,True,PF02518,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",pfam,domain,IPR003594,,,268,401,CONTINUOUS,False,False,PF02518,1.6e-09
O14874,412,reviewed,9606,True,PF10436,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase,pfam,family,IPR018955,,,70,222,CONTINUOUS,False,False,PF10436,4.2e-45
Q12851,820,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,16,272,CONTINUOUS,False,False,PF00069,1.6e-58
Q12851,820,reviewed,9606,True,PF00780,CNH domain,pfam,repeat,IPR001180,,,498,787,CONTINUOUS,False,False,PF00780,6.6e-46
P51451,505,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,124,205,CONTINUOUS,False,False,PF00017,3e-19
P51451,505,reviewed,9606,True,PF00018,SH3 domain,pfam,domain,IPR001452,,,64,110,CONTINUOUS,False,False,PF00018,1.3e-11
P51451,505,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,242,489,CONTINUOUS,False,False,PF07714,2.9e-89
P15056,766,reviewed,9606,True,PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),pfam,domain,IPR002219,,,235,281,CONTINUOUS,False,False,PF00130,5.8e-10
P15056,766,reviewed,9606,True,PF02196,Raf-like Ras-binding domain,pfam,domain,IPR003116,,,157,225,CONTINUOUS,False,False,PF02196,1.2e-23
P15056,766,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,457,712,CONTINUOUS,False,False,PF07714,1.5e-59
Q13882,451,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,78,155,CONTINUOUS,False,False,PF00017,1.6e-15
Q13882,451,reviewed,9606,True,PF00018,SH3 domain,pfam,domain,IPR001452,,,16,63,CONTINUOUS,False,False,PF00018,0.0002
Q13882,451,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,192,441,CONTINUOUS,False,False,PF07714,4.9e-86
Q06187,659,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,281,362,CONTINUOUS,False,False,PF00017,3.7e-18
Q06187,659,reviewed,9606,True,PF00018,SH3 domain,pfam,domain,IPR001452,,,220,266,CONTINUOUS,False,False,PF00018,1.3e-13
Q06187,659,reviewed,9606,True,PF00169,PH domain,pfam,domain,IPR001849,,,5,133,CONTINUOUS,False,False,PF00169,3.5e-09
Q06187,659,reviewed,9606,True,PF00779,BTK motif,pfam,conserved_site,IPR001562,,,141,167,CONTINUOUS,False,False,PF00779,9.2e-10
Q06187,659,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,402,650,CONTINUOUS,False,False,PF07714,3.4e-94
O60566,1050,reviewed,9606,True,PF08311,Mad3/BUB1 homology region 1,pfam,repeat,IPR013212,,,57,179,CONTINUOUS,False,False,PF08311,3.1e-40
P50613,346,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,12,295,CONTINUOUS,False,False,PF00069,1.9e-69
Q14012,370,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,21,276,CONTINUOUS,False,False,PF00069,5.5e-77
Q9UQM7,478,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,13,271,CONTINUOUS,False,False,PF00069,4.4e-73
Q9UQM7,478,reviewed,9606,True,PF08332,Calcium/calmodulin dependent protein kinase II association domain,pfam,domain,IPR013543,,,346,473,CONTINUOUS,True,True,PF08332,2.1e-61
Q13554,666,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,14,272,CONTINUOUS,False,False,PF00069,1.6e-71
Q13554,666,reviewed,9606,True,PF08332,Calcium/calmodulin dependent protein kinase II association domain,pfam,domain,IPR013543,,,534,661,CONTINUOUS,True,True,PF08332,9.4e-56
Q13555,558,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,14,272,CONTINUOUS,False,False,PF00069,9.4e-73
Q13555,558,reviewed,9606,True,PF08332,Calcium/calmodulin dependent protein kinase II association domain,pfam,domain,IPR013543,,,426,553,CONTINUOUS,True,True,PF08332,3e-56
Q16566,473,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,46,300,CONTINUOUS,False,False,PF00069,8e-78
Q8NCB2,501,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,34,286,CONTINUOUS,False,False,PF00069,2.5e-60
O15075,740,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,390,647,CONTINUOUS,False,False,PF00069,2.4e-72
O15075,740,reviewed,9606,True,PF03607,Doublecortin,pfam,family,IPR003533,,,76,137,CONTINUOUS,False,False,PF03607,5.9e-17
O14936,926,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,12,276,CONTINUOUS,False,False,PF00069,2.1e-65
O14936,926,reviewed,9606,True,PF00595,PDZ domain,pfam,domain,IPR001478,,,491,567,CONTINUOUS,False,False,PF00595,1.3e-14
O14936,926,reviewed,9606,True,PF00625,Guanylate kinase,pfam,domain,IPR008145,,,738,911,CONTINUOUS,False,False,PF00625,5.1e-59
O14936,926,reviewed,9606,True,PF02828,L27 domain,pfam,domain,IPR014775,,,347,395,CONTINUOUS,False,False,PF02828,3.8e-08
O14936,926,reviewed,9606,True,PF07653,Variant SH3 domain,pfam,domain,IPR001452,,,629,674,CONTINUOUS,False,False,PF07653,0.00012
P06493,297,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,4,287,CONTINUOUS,False,False,PF00069,1.7e-72
O00311,574,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,59,207,CONTINUOUS,False,False,PF00069,1.8e-21
P24941,298,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,4,286,CONTINUOUS,False,False,PF00069,6.9e-74
Q00526,305,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,4,286,CONTINUOUS,False,False,PF00069,1.1e-73
P11802,303,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,6,295,CONTINUOUS,True,True,PF00069,1.1e-59
Q00535,292,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,4,286,CONTINUOUS,False,False,PF00069,5.5e-69
Q00534,326,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,13,300,CONTINUOUS,False,False,PF00069,2.3e-63
P49336,464,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,26,335,CONTINUOUS,False,False,PF00069,8e-57
Q13976,671,reviewed,9606,True,PF00027,Cyclic nucleotide-binding domain,pfam,domain,IPR000595,,,122,203,CONTINUOUS,False,False,PF00027,1.1e-13
Q13976,671,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,361,619,CONTINUOUS,False,False,PF00069,9.7e-69
Q13976,671,reviewed,9606,True,PF16808,Coiled-coil N-terminus of cGMP-dependent protein kinase,pfam,coiled_coil,IPR031831,,,10,44,CONTINUOUS,False,False,PF16808,1.5e-11
Q13237,762,reviewed,9606,True,PF00027,Cyclic nucleotide-binding domain,pfam,domain,IPR000595,,,187,268,CONTINUOUS,False,False,PF00027,5e-13
Q13237,762,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,455,711,CONTINUOUS,False,False,PF00069,5.8e-68
Q14004,1512,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,707,997,CONTINUOUS,False,False,PF00069,7.7e-68
O14757,476,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,11,264,CONTINUOUS,False,False,PF00069,6.9e-64
O96017,543,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,222,486,CONTINUOUS,False,False,PF00069,9.5e-72
O96017,543,reviewed,9606,True,PF00498,FHA domain,pfam,family,IPR000253,,,113,191,CONTINUOUS,False,False,PF00498,1.8e-07
P48729,337,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,17,236,CONTINUOUS,False,False,PF00069,9.7e-24
P48730,415,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,9,228,CONTINUOUS,False,False,PF00069,8.2e-24
P49674,416,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,9,228,CONTINUOUS,False,False,PF00069,1.8e-23
P78368,415,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,47,262,CONTINUOUS,False,False,PF00069,7.1e-22
P78368,415,reviewed,9606,True,PF12605,Casein kinase 1 gamma C terminal,pfam,family,IPR022247,,,361,385,CONTINUOUS,False,False,PF12605,2e-05
Q9Y6M4,447,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,44,259,CONTINUOUS,False,False,PF00069,8e-23
Q9Y6M4,447,reviewed,9606,True,PF12605,Casein kinase 1 gamma C terminal,pfam,family,IPR022247,,,328,417,CONTINUOUS,False,False,PF12605,8.1e-26
P68400,391,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,39,324,CONTINUOUS,False,False,PF00069,7.4e-67
P19784,350,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,40,325,CONTINUOUS,False,False,PF00069,6.7e-66
P49759,484,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,161,477,CONTINUOUS,False,False,PF00069,6.8e-51
P49760,499,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,163,479,CONTINUOUS,False,False,PF00069,3.4e-46
P49761,638,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,304,620,CONTINUOUS,False,False,PF00069,3.3e-42
P41279,467,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,145,386,CONTINUOUS,False,False,PF00069,6.3e-45
P07333,972,reviewed,9606,True,PF00047,Immunoglobulin domain,pfam,domain,IPR013151,,,212,291,CONTINUOUS,False,False,PF00047,1.8e-09
P07333,972,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,582,910,CONTINUOUS,False,False,PF07714,2.9e-92
P07333,972,reviewed,9606,True,PF13927,Immunoglobulin domain,pfam,domain,,,,409,489,CONTINUOUS,False,False,PF13927,0.0016
P41240,450,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,82,156,CONTINUOUS,False,False,PF00017,4.2e-22
P41240,450,reviewed,9606,True,PF00018,SH3 domain,pfam,domain,IPR001452,,,15,62,CONTINUOUS,False,False,PF00018,7e-10
P41240,450,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,195,440,CONTINUOUS,False,False,PF07714,1.6e-85
P27448,753,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,56,307,CONTINUOUS,False,False,PF00069,2.2e-73
P27448,753,reviewed,9606,True,PF00627,UBA/TS-N domain,pfam,domain,IPR015940,,,328,363,CONTINUOUS,False,False,PF00627,0.0013
P27448,753,reviewed,9606,True,PF02149,Kinase associated domain 1,pfam,domain,IPR001772,,,710,753,CONTINUOUS,False,False,PF02149,2.7e-16
Q02846,1103,reviewed,9606,True,PF00211,Adenylate and Guanylate cyclase catalytic domain,pfam,domain,IPR001054,,,872,1057,CONTINUOUS,True,True,PF00211,5.2e-61
Q02846,1103,reviewed,9606,True,PF01094,Receptor family ligand binding region,pfam,family,IPR001828,,,73,394,CONTINUOUS,False,False,PF01094,7.1e-50
Q02846,1103,reviewed,9606,True,PF07701,Heme NO binding associated,pfam,domain,IPR011645,,,820,865,CONTINUOUS,True,True,PF07701,0.01
Q02846,1103,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,578,800,CONTINUOUS,False,False,PF07714,6.4e-24
P51841,1108,reviewed,9606,True,PF00211,Adenylate and Guanylate cyclase catalytic domain,pfam,domain,IPR001054,,,876,1061,CONTINUOUS,True,True,PF00211,2e-62
P51841,1108,reviewed,9606,True,PF01094,Receptor family ligand binding region,pfam,family,IPR001828,,,73,412,CONTINUOUS,False,False,PF01094,9.2e-78
P51841,1108,reviewed,9606,True,PF07701,Heme NO binding associated,pfam,domain,IPR011645,,,824,869,CONTINUOUS,True,True,PF07701,0.041
P51841,1108,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,595,808,CONTINUOUS,False,False,PF07714,1.4e-37
P53355,1430,reviewed,9606,True,PF00023,Ankyrin repeat,pfam,repeat,IPR002110,,,511,542,CONTINUOUS,False,False,PF00023,0.11
P53355,1430,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,13,275,CONTINUOUS,False,False,PF00069,1.9e-72
P53355,1430,reviewed,9606,True,PF00531,Death domain,pfam,domain,IPR000488,,,1311,1392,CONTINUOUS,False,False,PF00531,8.2e-11
P53355,1430,reviewed,9606,True,PF12796,Ankyrin repeats (3 copies),pfam,repeat,IPR002110,,,436,508,CONTINUOUS,True,True,PF12796,6.9e-12
P53355,1430,reviewed,9606,True,PF13637,Ankyrin repeats (many copies),pfam,repeat,IPR002110,,,395,431,CONTINUOUS,False,False,PF13637,0.3
Q9UIK4,370,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,23,285,CONTINUOUS,False,False,PF00069,1.7e-72
Q12852,859,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,131,363,CONTINUOUS,False,False,PF07714,2.8e-58
Q09013,629,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,71,339,CONTINUOUS,True,True,PF00069,3.5e-49
Q09013,629,reviewed,9606,True,PF08826,DMPK coiled coil domain like,pfam,coiled_coil,IPR014930,,,470,530,CONTINUOUS,False,False,PF08826,2.3e-17
Q6DT37,1551,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,71,337,CONTINUOUS,True,True,PF00069,1.8e-51
